train_id,name,item_condition_id,category_name,brand_name,price,shipping,item_description
748447,Polaroid Camera,3,Electronics/Cameras & Photography/Film Photography,,27.0,1,Film not included
674932,Vintage Ashtray,3,Vintage & Collectibles/Housewares/Coaster,,8.0,0,Sip n Smoke ashtray. Would make a cute gift!
586672,Matilda Jane weekender nwt,1,Women/Women's Handbags/Other,,52.0,0,NWT. Matilda Jane Clothing weekender bag. Overnight bag #luggage #matildajaneclothing #weekender #weekenderbag #overnightbag
846012,Red Full Lace Wig,3,Women/Women's Accessories/Hair Accessories,,69.0,0,12 inches
1026408,EQUATE NICOTINE TRANSDERMAL SYSTEM,1,Other/Daily & Travel items/Personal Care,,19.0,0,13 patches left. Too strong for my husband.
752726,Scantrons 882-E Free Shipping,1,Other/Office supplies/Shipping Supplies,,11.0,1,Brand new It comes with 100 Scantrons Form 882-e
1477709,Victoria's Secret Alabama sleep pants,2,Women/Other/Other,Victoria's Secret,8.0,1,University of Alabama pajama pants. Size XS. Says BAMA PINK on leg of pants. Super cute PJ's! I know we have a lot of Bama fans that will love these! Super cute!
20101,Puma toddler girls,3,Kids/Girls 2T-5T/Shoes,,19.0,0,Puma Toddler girls size 6 Silver sparkle Velcro straps Excellent used condition Smoke and pet free home
711453,Black top,3,Women/Tops & Blouses/Blouse,Mossimo,8.0,1,Black off the shoulder top. Size small
1240855,Gold & White Heart Mug,1,Home/Kitchen & Dining/Coffee & Tea Accessories,,6.0,1,Cute heart mug.Very nice for any beverage. Works well as a gift! **More than one available
834405,Express flip flops,3,Women/Shoes/Sandals,Express,9.0,0,No description yet
961377,Headrest Mount for Tablets,2,Electronics/Computers & Tablets/iPad/Tablet/eBook Readers,,21.0,0,"In excellent conditions, comes with manuals and original box"
653004,Bundle SciFi & Gizmo Lapel Pin for uges,1,Handmade/Accessories/Pin,,16.0,1,Bundle SciFi & Gizmo Lapel Pin for uges
85037,Sprint Htc one,2,Electronics/Cell Phones & Accessories/Cell Phones & Smartphones,HTC,43.0,0,fresh format ready to go with otterbox low price 40 plus shipping no return
44256,Lularoe XS Irma Mickey Lularoe Logo Pink,1,Women/Tops & Blouses/Tunic,Disney Collection,42.0,0,Brand New
943804,Denver Broncos Origami Owl Like,1,Women/Jewelry/Necklaces,NFL,21.0,1,"Glass Locket with Chain, 25mm Denver Plate, 4 Charms.......we also have Bracelets and Keychains if you would like to change the necklace into a different locket let me know"
1265040,TARTE CURL BOSS,1,Beauty/Tools & Accessories/Makeup Brushes & Tools,Tarte,18.0,1,New in cylinder Free shipping
1284705,Eddie Bauer boys boots. Size 8.,3,Kids/Boys 2T-5T/Shoes,Eddie Bauer,15.0,0,Brown Eddie Bauer boys boots. Good condition. Most wear on toe/front. Very warm. Box included.
1292898,VS PINK bling Zip up Hoodie,3,Women/Athletic Apparel/Tracksuits & Sweats,PINK,26.0,0,Black Victoria's Secret PINK VS PINK full zip hoodie with black and white sequin bling on back. There is a hole in the back of the right sleeve and is shown far away and up close in the 2nd picture.
1257768,Cute slip dress Halloween costume,2,Handmade/Clothing/Costume,,8.0,0,One size fits all. Perfect for a vampire look on Halloween. Very short but can be worn without leggings to give a super sexy look. Bundle with the wig for free shipping
867901,Woman's clothing,3,Women/Tops & Blouses/T-Shirts,,8.0,1,"6 tshirts, 5 shorts, 1 skirt, 1 dress and tanktops"
